TM1,Score1,vs,TM2,Score2,week
KC,34,-,HOU,20,1
LV,34,-,CAR,30,1
JAC,27,-,IND,20,1
NE,21,-,MIA,11,1
WAS,27,-,PHI,17,1
SEA,38,-,ATL,25,1
GB,43,-,MIN,34,1
BUF,27,-,NYJ,17,1
BAL,38,-,CLE,6,1
CHI,27,-,DET,23,1
LAC,16,-,CIN,13,1
ARI,24,-,SF,20,1
NO,34,-,TB,23,1
LAR,20,-,DAL,17,1
PIT,26,-,NYG,16,1
TEN,16,-,DEN,14,1
CLE,35,-,CIN,30,2
TEN,33,-,JAC,30,2
GB,42,-,DET,21,2
LAR,37,-,PHI,19,2
CHI,17,-,NYG,13,2
SF,31,-,NYJ,13,2
PIT,26,-,DEN,21,2
IND,28,-,MIN,11,2
TB,31,-,CAR,17,2
BUF,31,-,MIA,28,2
DAL,40,-,ATL,39,2
ARI,30,-,WAS,15,2
BAL,33,-,HOU,16,2
KC,23,-,LAC,20,2
SEA,35,-,NE,30,2
LV,34,-,NO,24,2
MIA,31,-,JAC,13,3
BUF,35,-,LAR,32,3
PIT,28,-,HOU,21,3
NE,36,-,LV,20,3
TEN,31,-,MIN,30,3
CLE,34,-,WAS,20,3
CIN,23,-,PHI,23,3
SF,36,-,NYG,9,3
CHI,30,-,ATL,26,3
CAR,21,-,LAC,16,3
IND,36,-,NYJ,7,3
SEA,38,-,DAL,31,3
DET,26,-,ARI,23,3
TB,28,-,DEN,10,3
GB,37,-,NO,30,3
KC,34,-,BAL,20,3
DEN,37,-,NYJ,28,4
TB,38,-,LAC,31,4
CIN,33,-,JAC,25,4
MIN,31,-,HOU,23,4
SEA,31,-,MIA,23,4
CLE,49,-,DAL,38,4
NO,35,-,DET,29,4
BAL,31,-,WAS,17,4
CAR,31,-,ARI,21,4
LAR,17,-,NYG,9,4
BUF,30,-,LV,23,4
IND,19,-,CHI,11,4
PHI,25,-,SF,20,4
KC,26,-,NE,10,4
GB,30,-,ATL,16,4
CHI,20,-,TB,19,5
HOU,30,-,JAC,14,5
BAL,27,-,CIN,3,5
LAR,30,-,WAS,10,5
LV,40,-,KC,32,5
PIT,38,-,PHI,29,5
CAR,23,-,ATL,16,5
ARI,30,-,NYJ,10,5
MIA,43,-,SF,17,5
CLE,32,-,IND,23,5
DAL,37,-,NYG,34,5
SEA,27,-,MIN,26,5
NO,30,-,LAC,27,5
TEN,42,-,BUF,16,5
PIT,38,-,CLE,7,6
IND,31,-,CIN,27,6
DEN,18,-,NE,12,6
DET,34,-,JAC,16,6
NYG,20,-,WAS,19,6
TEN,42,-,HOU,36,6
CHI,23,-,CAR,16,6
BAL,30,-,PHI,28,6
ATL,40,-,MIN,23,6
MIA,24,-,NYJ,0,6
TB,38,-,GB,10,6
SF,24,-,LAR,16,6
KC,26,-,BUF,17,6
ARI,38,-,DAL,10,6
PHI,22,-,NYG,21,7
WAS,25,-,DAL,3,7
CLE,37,-,CIN,34,7
DET,23,-,ATL,22,7
GB,35,-,HOU,20,7
PIT,27,-,TEN,24,7
NO,27,-,CAR,24,7
BUF,18,-,NYJ,10,7
TB,45,-,LV,20,7
LAC,39,-,JAC,29,7
KC,43,-,DEN,16,7
SF,33,-,NE,6,7
ARI,37,-,SEA,34,7
LAR,24,-,CHI,10,7
ATL,25,-,CAR,17,8
BUF,24,-,NE,21,8
MIN,28,-,GB,22,8
KC,35,-,NYJ,9,8
PIT,28,-,BAL,24,8
CIN,31,-,TEN,20,8
LV,16,-,CLE,6,8
MIA,28,-,LAR,17,8
IND,41,-,DET,21,8
DEN,31,-,LAC,30,8
NO,26,-,CHI,23,8
SEA,37,-,SF,27,8
PHI,23,-,DAL,9,8
TB,25,-,NYG,23,8
GB,34,-,SF,17,9
MIN,34,-,DET,20,9
ATL,34,-,DEN,27,9
HOU,27,-,JAC,25,9
NYG,23,-,WAS,20,9
BUF,44,-,SEA,34,9
TEN,24,-,CHI,17,9
KC,33,-,CAR,31,9
BAL,24,-,IND,10,9
LV,31,-,LAC,26,9
MIA,34,-,ARI,31,9
PIT,24,-,DAL,19,9
NO,38,-,TB,3,9
NE,30,-,NYJ,27,9
IND,34,-,TEN,17,10
GB,24,-,JAC,20,10
CLE,10,-,HOU,7,10
NYG,27,-,PHI,17,10
TB,46,-,CAR,23,10
DET,30,-,WAS,27,10
MIA,29,-,LAC,21,10
LV,37,-,DEN,12,10
ARI,32,-,BUF,30,10
PIT,36,-,CIN,10,10
LAR,23,-,SEA,16,10
NO,27,-,SF,13,10
NE,23,-,BAL,17,10
MIN,19,-,CHI,13,10
SEA,28,-,ARI,21,11
HOU,27,-,NE,20,11
CAR,20,-,DET,0,11
CLE,22,-,PHI,17,11
PIT,27,-,JAC,3,11
TEN,30,-,BAL,24,11
WAS,20,-,CIN,9,11
NO,24,-,ATL,9,11
LAC,34,-,NYJ,28,11
DEN,20,-,MIA,13,11
DAL,31,-,MIN,28,11
IND,34,-,GB,31,11
KC,35,-,LV,31,11
LAR,27,-,TB,24,11
DET,34,-,CHI,30,13
CLE,41,-,TEN,35,13
IND,26,-,HOU,20,13
MIN,27,-,JAC,24,13
NO,21,-,ATL,16,13
LV,31,-,NYJ,28,13
MIA,19,-,CIN,7,13
NYG,17,-,SEA,12,13
LAR,38,-,ARI,28,13
GB,30,-,PHI,16,13
NE,45,-,LAC,0,13
KC,22,-,DEN,16,13
WAS,23,-,PIT,17,13
BUF,34,-,SF,24,13
BAL,34,-,DAL,17,13
