TM1,Score1,vs,TM2,Score2,week
KC,34,-,HOU,20,1
LV,34,-,CAR,30,1
JAC,27,-,IND,20,1
NE,21,-,MIA,11,1
WAS,27,-,PHI,17,1
SEA,38,-,ATL,25,1
GB,43,-,MIN,34,1
BUF,27,-,NYJ,17,1
BAL,38,-,CLE,6,1
CHI,27,-,DET,23,1
LAC,16,-,CIN,13,1
ARI,24,-,SF,20,1
NO,34,-,TB,23,1
LAR,20,-,DAL,17,1
PIT,26,-,NYG,16,1
TEN,16,-,DEN,14,1
CLE,35,-,CIN,30,2
TEN,33,-,JAC,30,2
GB,42,-,DET,21,2
LAR,37,-,PHI,19,2
CHI,17,-,NYG,13,2
SF,31,-,NYJ,13,2
PIT,26,-,DEN,21,2
IND,28,-,MIN,11,2
TB,31,-,CAR,17,2
BUF,31,-,MIA,28,2
DAL,40,-,ATL,39,2
ARI,30,-,WAS,15,2
BAL,33,-,HOU,16,2
KC,23,-,LAC,20,2
SEA,35,-,NE,30,2
LV,34,-,NO,24,2
MIA,31,-,JAC,13,3
BUF,35,-,LAR,32,3
PIT,28,-,HOU,21,3
NE,36,-,LV,20,3
TEN,31,-,MIN,30,3
CLE,34,-,WAS,20,3
CIN,23,-,PHI,23,3
SF,36,-,NYG,9,3
CHI,30,-,ATL,26,3
CAR,21,-,LAC,16,3
IND,36,-,NYJ,7,3
SEA,38,-,DAL,31,3
DET,26,-,ARI,23,3
TB,28,-,DEN,10,3
GB,37,-,NO,30,3
KC,34,-,BAL,20,3
DEN,37,-,NYJ,28,4
TB,38,-,LAC,31,4
CIN,33,-,JAC,25,4
MIN,31,-,HOU,23,4
SEA,31,-,MIA,23,4
CLE,49,-,DAL,38,4
NO,35,-,DET,29,4
BAL,31,-,WAS,17,4
CAR,31,-,ARI,21,4
LAR,17,-,NYG,9,4
BUF,30,-,LV,23,4
IND,19,-,CHI,11,4
PHI,25,-,SF,20,4
KC,26,-,NE,10,4
GB,30,-,ATL,16,4
CHI,20,-,TB,19,5
HOU,30,-,JAC,14,5
BAL,27,-,CIN,3,5
LAR,30,-,WAS,10,5
LV,40,-,KC,32,5
PIT,38,-,PHI,29,5
CAR,23,-,ATL,16,5
ARI,30,-,NYJ,10,5
MIA,43,-,SF,17,5
CLE,32,-,IND,23,5
DAL,37,-,NYG,34,5
SEA,27,-,MIN,26,5
NO,30,-,LAC,27,5
TEN,42,-,BUF,16,5
PIT,38,-,CLE,7,6
IND,31,-,CIN,27,6
DEN,18,-,NE,12,6
DET,34,-,JAC,16,6
NYG,20,-,WAS,19,6
TEN,42,-,HOU,36,6
CHI,23,-,CAR,16,6
BAL,30,-,PHI,28,6
ATL,40,-,MIN,23,6
MIA,24,-,NYJ,0,6
TB,38,-,GB,10,6
SF,24,-,LAR,16,6
KC,26,-,BUF,17,6
ARI,38,-,DAL,10,6
PHI,22,-,NYG,21,7
WAS,25,-,DAL,3,7
CLE,37,-,CIN,34,7
DET,23,-,ATL,22,7
GB,35,-,HOU,20,7
PIT,27,-,TEN,24,7
NO,27,-,CAR,24,7
BUF,18,-,NYJ,10,7
